Source, Target, Type, Id, Label, Weight
0,50,Directed,0,marinacomciro, 5 
0,2,Directed,1,elenao, 31 
0,73,Directed,2,direitaunida, 4 
0,76,Directed,3,écomciroqueeuvou, 4 
0,13,Directed,4,bolsonaronãoécorrupto, 17 
0,4,Directed,5,bolsonaro17, 28 
0,17,Directed,6,bolsonaronojornalnacional, 15 
0,11,Directed,7,euquerobolsonaro, 19 
0,43,Directed,8,lulanacadeia, 5 
0,18,Directed,9,bolsonaro2018, 14 
0,29,Directed,10,fakenews, 8 
0,100,Directed,11,debatebandrio, 3 
0,61,Directed,12,eusoulula, 4 
0,47,Directed,13,direitaseguedireita, 5 
0,74,Directed,14,jb17, 4 
0,8,Directed,15,eleições2018, 21 
0,7,Directed,16,debateaparecida, 23 
0,98,Directed,17,cironeles, 3 
0,34,Directed,18,democraciasim, 7 
0,12,Directed,19,bolsonaropresidente17, 18 
0,69,Directed,20,lulaépresidiário, 4 
0,63,Directed,21,sextadetremurasdv, 4 
0,70,Directed,22,haddad, 4 
0,44,Directed,23,lulaepresidiario, 5 
0,59,Directed,24,domingodetremurasdv, 5 
0,65,Directed,25,marinanojornalnacional, 4 
0,9,Directed,26,debateredetv, 21 
0,14,Directed,27,elenunca, 17 
0,48,Directed,28,haddadpresidente, 5 
0,15,Directed,29,bolsonaro, 16 
0,10,Directed,30,cirofilhodaputa, 20 
0,72,Directed,31,alvarodias19, 4 
0,62,Directed,32,museunacional, 4 
0,85,Directed,33,lulaladrão, 3 
0,16,Directed,34,forçabolsonaro, 15 
0,33,Directed,35,uolnasurnas, 7 
0,42,Directed,36,haddadélula, 6 
0,51,Directed,37,jairmessiasbolsonaro, 5 
0,25,Directed,38,rouanetnao, 10 
0,30,Directed,39,votobolsonaro17, 8 
0,80,Directed,40,lutomuseunacional, 4 
0,28,Directed,41,quemmandoumatarbolsonaro, 9 
0,49,Directed,42,marina18, 5 
0,94,Directed,43,marinasilvanopanico, 3 
0,32,Directed,44,dia7é17, 7 
0,77,Directed,45,bolsonaronaoecorrupto, 4 
0,75,Directed,46,ocapitaovoltou, 4 
0,67,Directed,47,bolsonaroeleito1ºturno, 4 
0,36,Directed,48,meubolsominionsecreto, 7 
0,3,Directed,49,ciro12, 30 
0,81,Directed,50,ciraonosegundoturno, 4 
0,89,Directed,51,mariellepresente, 3 
0,6,Directed,52,rouanetnão, 23 
0,57,Directed,53,cironosegundoturno, 5 
0,92,Directed,54,geraldoalckmin, 3 
0,87,Directed,55,paz, 3 
0,37,Directed,56,lulainelegível, 7 
0,20,Directed,57,cironacnbb, 11 
0,21,Directed,58,lulainelegivel, 10 
0,88,Directed,59,elesimbolsonaro17, 3 
0,24,Directed,60,mulherescombolsonaro, 10 
0,38,Directed,61,calabocagentilli, 7 
0,53,Directed,62,bolsonaropresidente, 5 
0,78,Directed,63,vote30, 4 
0,68,Directed,64,ciro, 4 
0,39,Directed,65,calabocaciro, 6 
0,58,Directed,66,pergunteaociro12, 5 
0,82,Directed,67,falaciro12, 4 
0,84,Directed,68,eleicoes2018, 4 
0,55,Directed,69,joãonaband, 5 
0,66,Directed,70,novafotodoperfil, 4 
0,35,Directed,71,forcabolsonaro, 7 
0,97,Directed,72,somostodosbolsonaro, 3 
0,86,Directed,73,bolsonaro17no1ºturno, 3 
0,45,Directed,74,reviravoltanaeleicao, 5 
0,22,Directed,75,gazetaestadaojp, 10 
0,64,Directed,76,sentagostosobozo, 4 
0,99,Directed,77,falamaisgentilli, 3 
0,27,Directed,78,mulherescontraobolsonaro, 9 
0,23,Directed,79,elasim, 10 
0,83,Directed,80,haddadélulanojn, 4 
0,19,Directed,81,falamaisgentili, 11 
0,54,Directed,82,ptnuncamais, 5 
0,93,Directed,83,quemmandoumatarobolsonaro, 3 
0,90,Directed,84,bolsonaronao, 3 
0,41,Directed,85,b17, 6 
0,5,Directed,86,elesim, 28 
0,96,Directed,87,manunojaburu, 3 
0,26,Directed,88,ciropresidente, 10 
0,52,Directed,89,brasil, 5 
0,1,Directed,90,﻿elenão, 47 
0,95,Directed,91,estoucombolsonaro, 3 
0,46,Directed,92,ocapitãovoltou, 5 
0,79,Directed,93,jairbolsonaro, 4 
0,56,Directed,94,bolsonaronajovempan, 5 
0,60,Directed,95,fechocomciro, 5 
0,40,Directed,96,milhoescombolsonaro, 6 
0,71,Directed,97,forapt, 4 
0,91,Directed,98,mulherescontraofascismo, 3 
0,31,Directed,99,lulalivre, 8 
