Source, Target, Type, Id, Label, Weight
101,109,Directed,0,vamosrenovartudo, 1 
101,116,Directed,1,bolsonaronarecord, 1 
101,73,Directed,2,direitaunida, 1 
101,30,Directed,3,votobolsonaro17, 1 
101,117,Directed,4,mudabrasil, 1 
101,24,Directed,5,mulherescombolsonaro, 1 
101,8,Directed,6,eleições2018, 1 
101,55,Directed,7,joãonaband, 3 
101,99,Directed,8,falamaisgentilli, 1 
101,115,Directed,9,soudedireitaporque, 1 
101,69,Directed,10,lulaépresidiário, 1 
101,118,Directed,11,lulaépresidiario, 1 
101,29,Directed,12,fakenews, 1 
101,112,Directed,13,elesnao, 1 
101,107,Directed,14,deusnocontrole, 1 
101,37,Directed,15,lulainelegível, 1 
101,21,Directed,16,lulainelegivel, 1 
101,9,Directed,17,debateredetv, 2 
101,91,Directed,18,mulherescontraofascismo, 1
101,105,Directed,19,obrigadosenhor, 1 
101,5,Directed,20,elesim, 1 
101,120,Directed,21,mengodefé, 1 
101,119,Directed,22,qdeusabencoemais, 1 
101,103,Directed,23,geraldopresidente, 1 
101,39,Directed,24,calabocaciro, 2 
101,91,Directed,25,mulherescontraofascismo, 1 
101,104,Directed,26,bemvindojair, 1 
101,113,Directed,27,marcaaesquerda, 1 
101,108,Directed,28,forarodinei, 1 
101,41,Directed,29,b17, 1 
101,114,Directed,30,bolsonaronaband, 1 
101,106,Directed,31,doriafalsiane, 1 
101,38,Directed,32,calabocagentilli, 1 
101,102,Directed,33,geraldo45, 1 
101,12,Directed,34,bolsonaropresidente17, 1 
101,111,Directed,35,mariellefranco, 1 
101,36,Directed,36,meubolsominionsecreto, 1 
101,19,Directed,37,falamaisgentili, 1 
101,110,Directed,38,porconosandes, 1 
101,16,Directed,39,forçabolsonaro, 2 
101,34,Directed,40,democraciasim, 2 
101,6,Directed,41,rouanetnão, 1 
101,77,Directed,42,bolsonaronaoecorrupto, 1 
