Source, Target, Type, Id, Label, Weight
121,31,Directed,0,lulalivre, 2 
121,69,Directed,1,lulaépresidiário, 2 
121,11,Directed,2,euquerobolsonaro, 4 
121,48,Directed,3,haddadpresidente, 4 
121,148,Directed,4,meubrasil, 1 
121,130,Directed,5,cironojornalnacional, 2 
121,171,Directed,6,politicamenteincorreto2018, 1 
121,159,Directed,7,elanao, 1 
121,37,Directed,8,lulainelegível, 1 
121,21,Directed,9,lulainelegivel, 2 
121,14,Directed,10,elenunca, 50 
121,5,Directed,11,elesim, 6 
121,26,Directed,12,ciropresidente, 1 
121,125,Directed,13,elejamais, 3 
121,142,Directed,14,vaidarpt, 1 
121,49,Directed,15,marina18, 3 
121,39,Directed,16,calabocaciro, 2 
121,126,Directed,17,geraldonojn, 3 
121,144,Directed,18,meupresidentemeudaddy, 1 
121,140,Directed,19,mulherescontraofacismo, 2 
121,136,Directed,20,debatenaband, 2 
121,35,Directed,21,forcabolsonaro, 3 
121,135,Directed,22,diademarina, 2 
121,141,Directed,23,haddadelula, 2 
121,58,Directed,24,pergunteaociro12, 1 
121,8,Directed,25,eleições2018, 7 
121,167,Directed,26,lgbt, 1 
121,168,Directed,27,lula2018, 1 
121,24,Directed,28,mulherescombolsonaro, 2 
121,79,Directed,29,jairbolsonaro, 1 
121,65,Directed,30,marinanojornalnacional, 2 
121,139,Directed,31,boulosnaredetv, 2 
121,162,Directed,32,paradagay, 1 
121,131,Directed,33,tchauquerido, 2 
121,133,Directed,34,timelula, 2 
121,146,Directed,35,judiciário, 1 
121,43,Directed,36,lulanacadeia, 2 
121,153,Directed,37,ditaduranuncamais, 1 
121,145,Directed,38,senadofederal, 1 
121,122,Directed,39,elenão, 112 
121,149,Directed,40,presidencia, 1 
121,163,Directed,41,fe, 1 
121,137,Directed,42,racismo, 2 
121,4,Directed,43,bolsonaro17, 1 
121,134,Directed,44,haddadelulanojn, 2 
121,173,Directed,45,bolsonaro17no1oturno, 1 
121,89,Directed,46,mariellepresente, 3 
121,157,Directed,47,forcacapitao, 1 
121,91,Directed,48,mulherescontraofascismo, 2 
121,151,Directed,49,políticos, 1 
121,84,Directed,50,eleicoes2018, 3 
121,161,Directed,51,debateband, 1 
121,13,Directed,52,bolsonaronãoécorrupto, 5 
121,3,Directed,53,ciro12, 14 
121,164,Directed,54,f1naglobo, 1 
121,174,Directed,55,bolsominionsecreto, 1 
121,169,Directed,56,lulapresidente, 1 
121,165,Directed,57,boicoterecord, 1 
121,160,Directed,58,lulanasurnastse, 1 
121,143,Directed,59,meubolsominiumsecreto, 1 
121,127,Directed,60,mulherescontrabolsonaro, 3 
121,23,Directed,61,elasim, 1 
121,150,Directed,62,pt, 1 
121,34,Directed,63,democraciasim, 1 
121,152,Directed,64,anittadiganaoaofascismo, 1 
121,175,Directed,65,bolsonaro17eleito1ºturno, 1 
121,155,Directed,66,bolsonaronoprimeiroturno, 1 
121,129,Directed,67,trump, 2 
121,17,Directed,68,bolsonaronojornalnacional, 24 
121,81,Directed,69,ciraonosegundoturno, 2 
121,83,Directed,70,haddadélulanojn, 4 
121,80,Directed,71,lutomuseunacional, 3 
121,94,Directed,72,marinasilvanopanico, 1 
121,166,Directed,73,mulheresunidascontrabolsonaro, 1 
121,86,Directed,74,bolsonaro17no1ºturno, 1 
121,156,Directed,75,cironao, 1 
121,123,Directed,76,eibozonarovaitomarnocu, 7 
121,2,Directed,77,elenao, 56 
121,128,Directed,78,lgbtqtwitter, 2 
121,172,Directed,79,calabocacirodenovo, 1 
121,138,Directed,80,coiso, 2 
121,96,Directed,81,manunojaburu, 3 
121,52,Directed,82,brasil, 1 
121,158,Directed,83,7desetembro, 1 
121,9,Directed,84,debateredetv, 16 
121,154,Directed,85,cirotempaupequeno, 1 
121,147,Directed,86,palaciodogoverno, 1 
121,124,Directed,87,salvemasbaleias, 3 
121,28,Directed,88,quemmandoumatarbolsonaro, 2 
121,27,Directed,89,mulherescontraobolsonaro, 12 
121,42,Directed,90,haddadélula, 5 
121,10,Directed,91,cirofilhodaputa, 1 
121,60,Directed,92,fechocomciro, 5 
121,132,Directed,93,bolsonaroeleito1ºlugar, 2 
121,64,Directed,94,sentagostosobozo, 8 
121,61,Directed,95,eusoulula, 3 
121,170,Directed,96,foratemer, 1 
121,62,Directed,97,museunacional, 2 
121,36,Directed,98,meubolsominionsecreto, 20 
121,12,Directed,99,bolsonaropresidente17, 2 
