Source, Target, Type, Id, Label, Weight
176,12,Directed,0,bolsonaropresidente17, 16 
176,13,Directed,1,bolsonaronãoécorrupto, 14 
176,35,Directed,2,forcabolsonaro, 5 
176,37,Directed,3,lulainelegível, 4 
176,194,Directed,4,votomarinapq, 4 
176,19,Directed,5,falamaisgentili, 10 
176,189,Directed,6,cirogomes, 4 
176,43,Directed,7,lulanacadeia, 5 
176,180,Directed,8,ondalaranja, 9 
176,8,Directed,9,eleições2018, 27 
176,190,Directed,10,forcaanitta, 4 
176,41,Directed,11,b17, 5 
176,83,Directed,12,haddadélulanojn, 6 
176,69,Directed,13,lulaépresidiário, 4 
176,181,Directed,14,fechadocombolsonaro, 6 
176,196,Directed,15,porenganomeuovo, 4 
176,170,Directed,16,foratemer, 4 
176,70,Directed,17,haddad, 3 
176,27,Directed,18,mulherescontraobolsonaro, 8 
176,23,Directed,19,elasim, 5 
176,2,Directed,20,elenao, 77 
176,177,Directed,21,afazenda10, 18 
176,29,Directed,22,fakenews, 6 
176,192,Directed,23,joaonosdebates, 4 
176,132,Directed,24,bolsonaroeleito1ºlugar, 7 
176,21,Directed,25,lulainelegivel, 9 
176,48,Directed,26,haddadpresidente, 8 
176,25,Directed,27,rouanetnao, 5 
176,109,Directed,28,vamosrenovartudo, 5 
176,61,Directed,29,eusoulula, 9 
176,34,Directed,30,democraciasim, 9 
176,49,Directed,31,marina18, 4 
176,201,Directed,32,falabrasil, 3 
176,9,Directed,33,debateredetv, 37 
176,178,Directed,34,thevoicebrasil, 14 
176,42,Directed,35,haddadélula, 11 
176,7,Directed,36,debateaparecida, 14 
176,187,Directed,37,sanatóriogeral, 4 
176,38,Directed,38,calabocagentilli, 4 
176,11,Directed,39,euquerobolsonaro, 17 
176,6,Directed,40,rouanetnão, 32 
176,28,Directed,41,quemmandoumatarbolsonaro, 21 
176,62,Directed,42,museunacional, 11 
176,197,Directed,43,debatebandminas, 4 
176,16,Directed,44,forçabolsonaro, 13 
176,183,Directed,45,vemcomjoão30, 5 
176,46,Directed,46,ocapitãovoltou, 8 
176,40,Directed,47,milhoescombolsonaro, 8 
176,33,Directed,48,uolnasurnas, 9 
176,54,Directed,49,ptnuncamais, 3 
176,26,Directed,50,ciropresidente, 4 
176,78,Directed,51,vote30, 5 
176,193,Directed,52,deusfamiliabolsonaro, 4 
176,134,Directed,53,haddadelulanojn, 3 
176,118,Directed,54,lulaépresidiario, 3 
176,4,Directed,55,bolsonaro17, 27 
176,158,Directed,56,7desetembro, 3 
176,10,Directed,57,cirofilhodaputa, 17 
176,47,Directed,58,direitaseguedireita, 4 
176,14,Directed,59,elenunca, 48 
176,198,Directed,60,trocadepasses, 3 
176,96,Directed,61,manunojaburu, 5 
176,188,Directed,62,venezuela, 4 
176,200,Directed,63,chamaomeirelles, 3 
176,161,Directed,64,debateband, 3 
176,5,Directed,65,elesim, 24 
176,17,Directed,66,bolsonaronojornalnacional, 28 
176,84,Directed,67,eleicoes2018, 9 
176,172,Directed,68,calabocacirodenovo, 10 
176,55,Directed,69,joãonaband, 5 
176,77,Directed,70,bolsonaronaoecorrupto, 5 
176,3,Directed,71,ciro12, 25 
176,185,Directed,72,hurricaneflorence, 4 
176,81,Directed,73,ciraonosegundoturno, 3 
176,191,Directed,74,brasilcommarina, 4 
176,122,Directed,75,elenão, 86 
176,15,Directed,76,bolsonaro, 23 
176,64,Directed,77,sentagostosobozo, 4 
176,184,Directed,78,política, 5 
176,199,Directed,79,elesnunca, 3 
176,45,Directed,80,reviravoltanaeleicao, 10 
176,39,Directed,81,calabocaciro, 5 
176,179,Directed,82,jn, 13 
176,52,Directed,83,brasil, 11 
176,18,Directed,84,bolsonaro2018, 4 
176,56,Directed,85,bolsonaronajovempan, 11 
176,186,Directed,86,mito, 4 
176,195,Directed,87,obrasilfelizdenovo, 4 
176,86,Directed,88,bolsonaro17no1ºturno, 7 
176,202,Directed,89,criançaesperança, 3 
176,22,Directed,90,gazetaestadaojp, 15 
176,24,Directed,91,mulherescombolsonaro, 13 
176,166,Directed,92,mulheresunidascontrabolsonaro, 4 
176,130,Directed,93,cironojornalnacional, 6 
176,80,Directed,94,lutomuseunacional, 5 
176,53,Directed,95,bolsonaropresidente, 11 
176,36,Directed,96,meubolsominionsecreto, 20 
176,31,Directed,97,lulalivre, 8 
176,182,Directed,98,jornaldaglobo, 6 
176,89,Directed,99,mariellepresente, 4 
