Source, Target, Type, Id, Label, Weight
249,12,Directed,0,bolsonaropresidente17, 1
249,47,Directed,1,direitaseguedireita, 1
249,51,Directed,2,jairmessiasbolsonaro, 1
249,93,Directed,3,quemmandoumatarobolsonaro, 1
249,289,Directed,4,euquerobolsonaro17, 1
249,57,Directed,5,cironosegundoturno, 1
249,10,Directed,6,cirofilhodaputa, 1
249,3,Directed,7,ciro12, 1
249,132,Directed,8,bolsonaroeleito1ºlugar, 1
249,269,Directed,9,meninocomunista, 1
249,264,Directed,10,bolsonaronaglobonews, 1
249,92,Directed,11,geraldoalckmin, 1
249,25,Directed,12,rouanetnao, 1
249,272,Directed,13,equipeciro, 1
249,276,Directed,14,mouraonaglobonews, 1
249,16,Directed,15,forçabolsonaro, 1
249,53,Directed,16,bolsonaropresidente, 1
249,260,Directed,17,feministas, 1
249,9,Directed,18,debateredetv, 1
249,275,Directed,19,brasilcombolsonaro, 1
249,54,Directed,20,ptnuncamais, 1
249,285,Directed,21,pergunteaomeirelles15, 1
249,288,Directed,22,brasilacimadetudo, 1
249,18,Directed,23,bolsonaro2018, 1
249,28,Directed,24,quemmandoumatarbolsonaro, 1
249,23,Directed,25,elasim, 1
249,64,Directed,26,sentagostosobozo, 1
249,273,Directed,27,euvotociro, 1
249,271,Directed,28,amoedonosdebates, 1
249,268,Directed,29,eunão, 1
249,282,Directed,30,euvotobolsonaro17, 1
249,6,Directed,31,rouanetnão, 1
249,55,Directed,32,joãonaband, 1
249,72,Directed,33,alvarodias19, 1
249,253,Directed,34,vamociro, 1
249,88,Directed,35,elesimbolsonaro17, 1
249,19,Directed,36,falamaisgentili, 1
249,26,Directed,37,ciropresidente, 1
249,83,Directed,38,haddadélulanojn, 1
249,24,Directed,39,mulherescombolsonaro, 1
249,73,Directed,40,direitaunida, 1
249,4,Directed,41,bolsonaro17, 1
249,278,Directed,42,pegunteaojoão, 1
249,263,Directed,43,caixa2, 1
249,265,Directed,44,elesim17, 1
249,36,Directed,45,meubolsominionsecreto, 1
249,287,Directed,46,rouanettparaquemprecisa, 1
249,186,Directed,47,mito, 1
249,267,Directed,48,bozo, 1
249,40,Directed,49,milhoescombolsonaro, 1
249,61,Directed,50,eusoulula, 1
249,122,Directed,51,elenão, 1
249,254,Directed,52,mouraonagnews, 1
249,280,Directed,53,joãonojn, 1
249,286,Directed,54,foradiretoriamerda, 1
249,274,Directed,55,semlulaéciro, 1
249,173,Directed,56,bolsonaro17no1oturno, 1
249,29,Directed,57,fakenews, 1
249,7,Directed,58,debateaparecida, 1
249,31,Directed,59,lulalivre, 1
249,155,Directed,60,bolsonaronoprimeiroturno, 1
249,217,Directed,61,cpidarouanet, 1
249,80,Directed,62,lutomuseunacional, 1
249,255,Directed,63,votemarina18, 1
249,172,Directed,64,calabocacirodenovo, 1
249,219,Directed,65,cironojornaldaglobo, 1
249,20,Directed,66,cironacnbb, 1
249,130,Directed,67,cironojornalnacional, 1
249,49,Directed,68,marina18, 1
249,277,Directed,69,debatedacnbb, 1
249,138,Directed,70,coiso, 1
249,5,Directed,71,elesim, 1
249,283,Directed,72,bolsonarosim, 1
249,17,Directed,73,bolsonaronojornalnacional, 1
249,14,Directed,74,elenunca, 1
249,11,Directed,75,euquerobolsonaro, 1
249,281,Directed,76,foraptcrimeeleitoral, 1
249,251,Directed,77,jornalnacional, 1
249,261,Directed,78,jairbolsonaro17, 1
249,86,Directed,79,bolsonaro17no1ºturno, 1
249,270,Directed,80,partidonovo, 1
249,290,Directed,81,orgulhoeepaixão, 1
249,256,Directed,82,eleiçõesbrasileiras, 1
249,257,Directed,83,17confirma, 1
249,58,Directed,84,pergunteaociro12, 1
249,84,Directed,85,eleicoes2018, 1
249,13,Directed,86,bolsonaronãoécorrupto, 1
249,284,Directed,87,eunaovotoembolsonaro, 1
249,262,Directed,88,alckminpresidente, 1
249,2,Directed,89,elenao, 1
249,15,Directed,90,bolsonaro, 1
249,252,Directed,91,coisão, 1
249,279,Directed,92,amoedonopanico, 1
249,259,Directed,93,bolsonarojn, 1
249,76,Directed,94,écomciroqueeuvou, 1
249,258,Directed,95,bolsonaroesfaqueado, 1
249,48,Directed,96,haddadpresidente, 1
249,266,Directed,97,cironoanticast, 1
249,171,Directed,98,politicamenteincorreto2018, 1
249,250,Directed,99,politica, 1
