Source, Target, Type, Id, Label, Weight
291,12,Directed,0,bolsonaropresidente17, 1
291,8,Directed,1,eleições2018, 1
291,107,Directed,2,deusnocontrole, 1
291,309,Directed,3,argentina, 1
291,47,Directed,4,direitaseguedireita, 1
291,93,Directed,5,quemmandoumatarobolsonaro, 1
291,10,Directed,6,cirofilhodaputa, 1
291,3,Directed,7,ciro12, 1
291,132,Directed,8,bolsonaroeleito1ºlugar, 1
291,52,Directed,9,brasil, 1
291,188,Directed,10,venezuela, 1
291,25,Directed,11,rouanetnao, 1
291,16,Directed,12,forçabolsonaro, 1
291,300,Directed,13,amoêdonosdebates, 1
291,53,Directed,14,bolsonaropresidente, 1
291,9,Directed,15,debateredetv, 1
291,65,Directed,16,marinanojornalnacional, 1
291,199,Directed,17,elesnunca, 1
291,182,Directed,18,jornaldaglobo, 1
291,56,Directed,19,bolsonaronajovempan, 1
291,18,Directed,20,bolsonaro2018, 1
291,28,Directed,21,quemmandoumatarbolsonaro, 1
291,23,Directed,22,elasim, 1
291,64,Directed,23,sentagostosobozo, 1
291,21,Directed,24,lulainelegivel, 1
291,75,Directed,25,ocapitaovoltou, 1
291,271,Directed,26,amoedonosdebates, 1
291,6,Directed,27,rouanetnão, 1
291,55,Directed,28,joãonaband, 1
291,294,Directed,29,garotosdoninho, 1
291,313,Directed,30,milhõescombolsonaro, 1
291,19,Directed,31,falamaisgentili, 1
291,70,Directed,32,haddad, 1
291,69,Directed,33,lulaépresidiário, 1
291,158,Directed,34,7desetembro, 1
291,83,Directed,35,haddadélulanojn, 1
291,24,Directed,36,mulherescombolsonaro, 1
291,73,Directed,37,direitaunida, 1
291,4,Directed,38,bolsonaro17, 1
291,79,Directed,39,jairbolsonaro, 1
291,292,Directed,40,flamengo, 1
291,265,Directed,41,elesim17, 1
291,36,Directed,42,meubolsominionsecreto, 1
291,97,Directed,43,somostodosbolsonaro, 1
291,303,Directed,44,ecuador, 1
291,40,Directed,45,milhoescombolsonaro, 1
291,310,Directed,46,feminismo, 1
291,122,Directed,47,elenão, 1
291,150,Directed,48,pt, 1
291,280,Directed,49,joãonojn, 1
291,304,Directed,50,economía, 1
291,173,Directed,51,bolsonaro17no1oturno, 1
291,311,Directed,52,mostraonuglobo, 1
291,35,Directed,53,forcabolsonaro, 1
291,33,Directed,54,uolnasurnas, 1
291,29,Directed,55,fakenews, 1
291,34,Directed,56,democraciasim, 1
291,194,Directed,57,votomarinapq, 1
291,297,Directed,58,quemtemmaistem9, 1
291,31,Directed,59,lulalivre, 1
291,299,Directed,60,amoedonojn, 1
291,231,Directed,61,lula, 1
291,307,Directed,62,joãonosdebates, 1
291,118,Directed,63,lulaépresidiario, 1
291,80,Directed,64,lutomuseunacional, 1
291,45,Directed,65,reviravoltanaeleicao, 1
291,172,Directed,66,calabocacirodenovo, 1
291,200,Directed,67,chamaomeirelles, 1
291,293,Directed,68,jesus, 1
291,37,Directed,69,lulainelegível, 1
291,130,Directed,70,cironojornalnacional, 1
291,22,Directed,71,gazetaestadaojp, 1
291,123,Directed,72,eibozonarovaitomarnocu, 1
291,5,Directed,73,elesim, 1
291,283,Directed,74,bolsonarosim, 1
291,17,Directed,75,bolsonaronojornalnacional, 1
291,14,Directed,76,elenunca, 1
291,11,Directed,77,euquerobolsonaro, 1
291,38,Directed,78,calabocagentilli, 1
291,181,Directed,79,fechadocombolsonaro, 1
291,86,Directed,80,bolsonaro17no1ºturno, 1
291,42,Directed,81,haddadélula, 1
291,301,Directed,82,elesnão, 1
291,84,Directed,83,eleicoes2018, 1
291,13,Directed,84,bolsonaronãoécorrupto, 1
291,46,Directed,85,ocapitãovoltou, 1
291,302,Directed,86,facadanobolsonaro, 1
291,296,Directed,87,brasilacimadaonu, 1
291,239,Directed,88,brazil, 1
291,306,Directed,89,aborto, 1
291,305,Directed,90,españa, 1
291,2,Directed,91,elenao, 1
291,15,Directed,92,bolsonaro, 1
291,312,Directed,93,deusbocontrole, 1
291,295,Directed,94,gloriaadeus, 1
291,192,Directed,95,joaonosdebates, 1
291,308,Directed,96,eleiçõesbruxas2018, 1
291,298,Directed,97,joãocom6, 1
291,77,Directed,98,bolsonaronaoecorrupto, 1
291,27,Directed,99,mulherescontraobolsonaro, 1
