Source, Target, Type, Id, Label, Weight
314,12,Directed,0,bolsonaropresidente17, 1
314,8,Directed,1,eleições2018, 1
314,317,Directed,2,oremos, 1
314,10,Directed,3,cirofilhodaputa, 1
314,3,Directed,4,ciro12, 1
314,132,Directed,5,bolsonaroeleito1ºlugar, 1
314,52,Directed,6,brasil, 1
314,326,Directed,7,presidente, 1
314,188,Directed,8,venezuela, 1
314,92,Directed,9,geraldoalckmin, 1
314,335,Directed,10,quemmandoumatarmarielle, 1
314,170,Directed,11,foratemer, 1
314,16,Directed,12,forçabolsonaro, 1
314,331,Directed,13,propostasdospresidenciáveis, 1
314,9,Directed,14,debateredetv, 1
314,65,Directed,15,marinanojornalnacional, 1
314,54,Directed,16,ptnuncamais, 1
314,223,Directed,17,dia7e17, 1
314,56,Directed,18,bolsonaronajovempan, 1
314,341,Directed,19,pesleague, 1
314,28,Directed,20,quemmandoumatarbolsonaro, 1
314,23,Directed,21,elasim, 1
314,32,Directed,22,dia7é17, 1
314,321,Directed,23,somostodosmoro, 1
314,21,Directed,24,lulainelegivel, 1
314,64,Directed,25,sentagostosobozo, 1
314,324,Directed,26,bolsonaroanojornalnacional, 1
314,337,Directed,27,estoucomboldonaro, 1
314,320,Directed,28,brasilacimadetudodeusacimadetodos, 1
314,6,Directed,29,rouanetnão, 1
314,19,Directed,30,falamaisgentili, 1
314,89,Directed,31,mariellepresente, 1
314,70,Directed,32,haddad, 1
314,315,Directed,33,joaonosbt, 1
314,26,Directed,34,ciropresidente, 1
314,330,Directed,35,general45, 1
314,24,Directed,36,mulherescombolsonaro, 1
314,4,Directed,37,bolsonaro17, 1
314,36,Directed,38,meubolsominionsecreto, 1
314,97,Directed,39,somostodosbolsonaro, 1
314,334,Directed,40,foigolpe, 1
314,186,Directed,41,mito, 1
314,40,Directed,42,milhoescombolsonaro, 1
314,333,Directed,43,votenulobolsominion, 1
314,122,Directed,44,elenão, 1
314,134,Directed,45,haddadelulanojn, 1
314,328,Directed,46,esquerdanao, 1
314,319,Directed,47,somos17, 1
314,325,Directed,48,saidapeladireita, 1
314,35,Directed,49,forcabolsonaro, 1
314,34,Directed,50,democraciasim, 1
314,338,Directed,51,camisetaamarela, 1
314,31,Directed,52,lulalivre, 1
314,102,Directed,53,geraldo45, 1
314,318,Directed,54,mulherescombolsoanaro, 1
314,307,Directed,55,joãonosdebates, 1
314,118,Directed,56,lulaépresidiario, 1
314,80,Directed,57,lutomuseunacional, 1
314,255,Directed,58,votemarina18, 1
314,45,Directed,59,reviravoltanaeleicao, 1
314,172,Directed,60,calabocacirodenovo, 1
314,322,Directed,61,euseiquevocêtreme, 1
314,200,Directed,62,chamaomeirelles, 1
314,207,Directed,63,bbdebate, 1
314,130,Directed,64,cironojornalnacional, 1
314,316,Directed,65,joãonosbt, 1
314,332,Directed,66,lesbicalitrao, 1
314,339,Directed,67,vempraruamourão, 1
314,191,Directed,68,brasilcommarina, 1
314,5,Directed,69,elesim, 1
314,17,Directed,70,bolsonaronojornalnacional, 1
314,14,Directed,71,elenunca, 1
314,11,Directed,72,euquerobolsonaro, 1
314,183,Directed,73,vemcomjoão30, 1
314,181,Directed,74,fechadocombolsonaro, 1
314,329,Directed,75,vote13, 1
314,86,Directed,76,bolsonaro17no1ºturno, 1
314,327,Directed,77,fé, 1
314,41,Directed,78,b17, 1
314,87,Directed,79,paz, 1
314,13,Directed,80,bolsonaronãoécorrupto, 1
314,46,Directed,81,ocapitãovoltou, 1
314,239,Directed,82,brazil, 1
314,103,Directed,83,geraldopresidente, 1
314,2,Directed,84,elenao, 1
314,15,Directed,85,bolsonaro, 1
314,124,Directed,86,salvemasbaleias, 1
314,81,Directed,87,ciraonosegundoturno, 1
314,323,Directed,88,enqueteseleições, 1
314,91,Directed,89,mulherescontraofascismo, 1
314,115,Directed,90,soudedireitaporque, 1
314,192,Directed,91,joaonosdebates, 1
314,48,Directed,92,haddadpresidente, 1
314,171,Directed,93,politicamenteincorreto2018, 1
314,39,Directed,94,calabocaciro, 1
314,336,Directed,95,ficatemer, 1
314,340,Directed,96,mulherescombolsonaro17, 1
314,77,Directed,97,bolsonaronaoecorrupto, 1
314,243,Directed,98,ptnão, 1
314,27,Directed,99,mulherescontraobolsonaro, 1
