Source, Target, Type, Id, Label, Weight
347,354,Directed,0,minhafeministasecreta, 1 
347,357,Directed,1,joãoamoêdo, 1 
347,73,Directed,2,direitaunida, 1 
347,349,Directed,3,mimhafeministasecreta, 1  
347,115,Directed,4,soudedireitaporque, 1 
347,48,Directed,5,haddadpresidente, 1 
347,2,Directed,6,elenao, 5 
347,172,Directed,7,calabocacirodenovo, 1 
347,171,Directed,8,politicamenteincorreto2018, 1 
347,96,Directed,9,manunojaburu, 1 
347,14,Directed,10,elenunca, 1
347,5,Directed,11,elesim, 2 
347,37,Directed,12,lulainelegível, 1 
347,51,Directed,13,jairmessiasbolsonaro, 2 
347,52,Directed,14,brasil, 1 
347,351,Directed,15,obolsobaro, 1 
347,352,Directed,16,machistasnaopassarao, 1 
347,83,Directed,17,haddadélulanojn, 1 
347,355,Directed,18,boulosnatvaparecida, 1 
347,21,Directed,19,lulainelegivel, 1 
347,356,Directed,20,juntosporbolsonaro, 1 
347,169,Directed,21,lulapresidente, 1 
347,9,Directed,22,debateredetv, 1 
347,6,Directed,23,rouanetnão, 1
347,134,Directed,24,haddadelulanojn, 1 
347,358,Directed,25,g1, 1 
347,300,Directed,26,amoêdonosdebates, 1 
347,10,Directed,27,cirofilhodaputa, 2 
347,47,Directed,28,direitaseguedireita, 2 
347,4,Directed,29,bolsonaro17, 1 
347,55,Directed,30,joãonaband, 1 
347,349,Directed,31,mimhafeministasecreta, 1 
347,210,Directed,32,meubolsominiosecreto, 1 
347,41,Directed,33,b17, 1 
347,28,Directed,34,quemmandoumatarbolsonaro, 3 
347,118,Directed,35,lulaépresidiario, 2 
347,38,Directed,36,calabocagentilli, 2 
347,348,Directed,37,centraldaseleições, 2 
347,14,Directed,38,elenunca, 1 
347,3,Directed,39,ciro12, 1 
347,122,Directed,40,elenão, 2 
347,36,Directed,41,meubolsominionsecreto, 1 
347,6,Directed,42,rouanetnão, 1  
347,192,Directed,43,joaonosdebates, 3 
347,19,Directed,44,falamaisgentili, 1 
347,16,Directed,45,forçabolsonaro, 2 
347,353,Directed,46,horarioeleitoral, 1 
347,350,Directed,47,homenscontrahaddad, 1 
347,17,Directed,48,bolsonaronojornalnacional, 1 
