Source, Target, Type, Id, Label, Weight
389,12,Directed,0,bolsonaropresidente17, 1
389,8,Directed,1,eleições2018, 1
389,204,Directed,2,ciropresidente12, 1
389,62,Directed,3,museunacional, 1
389,10,Directed,4,cirofilhodaputa, 1
389,3,Directed,5,ciro12, 1
389,132,Directed,6,bolsonaroeleito1ºlugar, 1
389,52,Directed,7,brasil, 1
389,188,Directed,8,venezuela, 1
389,25,Directed,9,rouanetnao, 1
389,92,Directed,10,geraldoalckmin, 1
389,16,Directed,11,forçabolsonaro, 1
389,53,Directed,12,bolsonaropresidente, 1
389,129,Directed,13,trump, 1
389,9,Directed,14,debateredetv, 1
389,65,Directed,15,marinanojornalnacional, 1
389,199,Directed,16,elesnunca, 1
389,18,Directed,17,bolsonaro2018, 1
389,28,Directed,18,quemmandoumatarbolsonaro, 1
389,23,Directed,19,elasim, 1
389,133,Directed,20,timelula, 1
389,64,Directed,21,sentagostosobozo, 1
389,21,Directed,22,lulainelegivel, 1
389,394,Directed,23,debatenaredetv, 1
389,271,Directed,24,amoedonosdebates, 1
389,6,Directed,25,rouanetnão, 1
389,55,Directed,26,joãonaband, 1
389,166,Directed,27,mulheresunidascontrabolsonaro, 1
389,19,Directed,28,falamaisgentili, 1
389,89,Directed,29,mariellepresente, 1
389,69,Directed,30,lulaépresidiário, 1
389,26,Directed,31,ciropresidente, 1
389,158,Directed,32,7desetembro, 1
389,83,Directed,33,haddadélulanojn, 1
389,24,Directed,34,mulherescombolsonaro, 1
389,4,Directed,35,bolsonaro17, 1
389,213,Directed,36,haddadnojn, 1
389,371,Directed,37,lulamanuhaddad, 1
389,36,Directed,38,meubolsominionsecreto, 1
389,195,Directed,39,obrasilfelizdenovo, 1
389,40,Directed,40,milhoescombolsonaro, 1
389,61,Directed,41,eusoulula, 1
389,122,Directed,42,elenão, 1
389,112,Directed,43,elesnao, 1
389,140,Directed,44,mulherescontraofacismo, 1
389,280,Directed,45,joãonojn, 1
389,393,Directed,46,marinanojg, 1
389,33,Directed,47,uolnasurnas, 1
389,29,Directed,48,fakenews, 1
389,34,Directed,49,democraciasim, 1
389,194,Directed,50,votomarinapq, 1
389,169,Directed,51,lulapresidente, 1
389,7,Directed,52,debateaparecida, 1
389,31,Directed,53,lulalivre, 1
389,82,Directed,54,falaciro12, 1
389,80,Directed,55,lutomuseunacional, 1
389,255,Directed,56,votemarina18, 1
389,95,Directed,57,estoucombolsonaro, 1
389,45,Directed,58,reviravoltanaeleicao, 1
389,172,Directed,59,calabocacirodenovo, 1
389,160,Directed,60,lulanasurnastse, 1
389,369,Directed,61,sabadodetremurasdv, 1
389,68,Directed,62,ciro, 1
389,20,Directed,63,cironacnbb, 1
389,200,Directed,64,chamaomeirelles, 1
389,130,Directed,65,cironojornalnacional, 1
389,37,Directed,66,lulainelegível, 1
389,49,Directed,67,marina18, 1
389,127,Directed,68,mulherescontrabolsonaro, 1
389,123,Directed,69,eibozonarovaitomarnocu, 1
389,191,Directed,70,brasilcommarina, 1
389,395,Directed,71,lulapreso, 1
389,96,Directed,72,manunojaburu, 1
389,391,Directed,73,cirosim, 1
389,5,Directed,74,elesim, 1
389,17,Directed,75,bolsonaronojornalnacional, 1
389,14,Directed,76,elenunca, 1
389,11,Directed,77,euquerobolsonaro, 1
389,86,Directed,78,bolsonaro17no1ºturno, 1
389,42,Directed,79,haddadélula, 1
389,58,Directed,80,pergunteaociro12, 1
389,84,Directed,81,eleicoes2018, 1
389,13,Directed,82,bolsonaronãoécorrupto, 1
389,396,Directed,83,juntassomosmaisfortes, 1
389,2,Directed,84,elenao, 1
389,392,Directed,85,sabeserbrasileiro, 1
389,15,Directed,86,bolsonaro, 1
389,124,Directed,87,salvemasbaleias, 1
389,81,Directed,88,ciraonosegundoturno, 1
389,78,Directed,89,vote30, 1
389,189,Directed,90,cirogomes, 1
389,125,Directed,91,elejamais, 1
389,91,Directed,92,mulherescontraofascismo, 1
389,115,Directed,93,soudedireitaporque, 1
389,48,Directed,94,haddadpresidente, 1
389,209,Directed,95,meubolsominonsecreto, 1
389,39,Directed,96,calabocaciro, 1
389,390,Directed,97,desafiodapuberdade, 1
389,27,Directed,98,mulherescontraobolsonaro, 1
389,94,Directed,99,marinasilvanopanico, 1
