elenão; 208 
newprofilepic; 157 
elenao; 129 
elesim; 107 
debateredetv; 99 
quemmandoumatarbolsonaro; 91 
thebest; 89 
rouanetnão; 87 
verguenzaconmebol; 83 
forçabolsonaro; 80 
elenunca; 78 
g1; 75 
bolsonaro17; 73 
bolsonaronojornalnacional; 71 
bolsonaropresidente17; 68 
falamaisgentili; 64 
eleições2018; 64 
afazenda10; 64 
tbt; 63 
bolsonaronãoécorrupto; 63 
euquerobolsonaro; 63 
vamosflamengo; 62 
cirofilhodaputa; 59 
debateaparecida; 52 
fifafootballawards; 51 
meubolsominionsecreto; 49 
ciro12; 49 
crf; 47 
calabocacirodenovo; 47 
milhoescombolsonaro; 46 
flamengo; 45 
nflnaespn; 42 
novafotodoperfil; 40 
pas; 38 
bolsonaroeleito1ºlugar; 37 
avantipalestra; 35 
southamericamemes; 35 
mulherescombolsonaro; 33 
halamadrid; 33 
thevoicebrasil; 33 
trcoluna; 33 
bolsonaro; 32 
bolsonaro2018; 32 
forçaanitta; 32 
brasileirão2018; 31 
maquinadememes; 31 
rt; 31 
fakenews; 30 
bolsonaro17no1ºturno; 30 
lixeiramemes; 30 
cblol; 29 
masterchefbr; 29 
omemedaminhavida; 29 
libertadoresfoxsports; 28 
vasco120; 28 
forçapedro; 28 
grêmio; 28 
sextou; 28 
calabocaciro; 27 
setembroamarelo; 27 
habemussemifinal; 27 
bolsonaropresidente; 27 
fifa19; 26 
votobolsonaro17; 26 
jn; 26 
flaxcor; 26 
appleevent; 26 
jairmessiasbolsonaro; 26 
lulainelegivel; 25 
vaicorinthians; 25 
mpn; 25 
lulaépresidiário; 24 
flaxcam; 24 
vamointer; 24 
lulalivre; 24 
fechadocombolsonaro; 24 
porenganomeuovo; 24 
calabocagentilli; 23 
bomdia; 23 
direitaseguedireita; 23 
emmys; 23 
reviravoltanaeleicao; 23 
galo; 23 
lulainelegível; 22 
haddadélula; 22 
7desetembro; 22 
cruzeiro; 22 
segundosol; 22 
meuaniversáriodotwitter; 22 
cruxfla; 22 
anittaisoverparty; 21 
ucl; 21 
brasilcommarina; 21 
nossofutebol; 21 
conmebollibertadores; 20 
direitaunida; 20 
vasxfla; 20 
vascodagama; 20 
forcabolsonaro; 20 
tocadaraposa3; 20 
eleicoes2018; 20 
haddadélulanojn; 20 
fsradiobrasil; 19 
lulaépresidiario; 19 
juntospelasula; 19 
libertadores2018; 19 
museunacional; 19 
haddadpresidente; 19 
paunocudaonu; 19 
corinthians; 18 
ondalaranja; 18 
soudedireitaporque; 18 
mensalinhodotwitter; 18 
captainmarvel; 18 
mouraonagnews; 18 
premierleaguenaespn; 18 
pes2019; 18 
democraciasim; 17 
sabeserbrasileiro; 17 
paz; 17 
inter; 17 
rip; 17 
palmeiras104anos; 17 
sentagostosobozo; 17 
reagesantos; 17 
ficacuellar; 16 
coelhão; 16 
diadevasco; 16 
forabarbieri; 16 
uolnasurnas; 16 
ocapitãovoltou; 16 
queremosobi; 16 
f1; 16 
bolsonaronajovempan; 16 
afazenda; 16 
joãonaband; 15 
bolsonaronaoecorrupto; 15 
copadobrasilfoxsports; 15 
marina18; 15 
foraloss; 15 
elasim; 15 
maisanicholas; 15 
rouanetnao; 15 
sextadetremurasdv; 15 
sbt37anos; 15 
cironojornalnacional; 14 
segundadetremurasdv; 14 
diadeflu; 14 
fantastico; 14 
dia7é17; 14 
sechamainteressaloucura; 14 
sqn; 14 
selecaosportv; 13 
gazetaestadaojp; 13 
zlatan500; 13 
spfc; 13 
eusoulula; 13 
vamosfluzão; 13 
jornaldaglobo; 13 
grêmio115anos; 13 
casadachampions; 13 
ciropresidente; 13 
marta; 13 
sabadodetremurasdv; 13 
messi; 13 
lutomuseunacional; 13 
elasnão; 13 
estoucombolsonaro; 13 
almaecoração; 12 
expedientefutebol; 12 
seomengaoseclassificar; 12 
entrenojogo; 12 
vasxacf; 12 
nflbrasil; 12 
puskas; 12 
euacredito; 12 
urgente; 12 
craquedoverdão; 12 
afreirafilme; 12 
estamoscontigodedé; 12 
domingodetremurasdv; 12 
palmeiras; 11 
b17; 11 
falamaisgentilli; 11 
famíliapalmeiras; 11 
babyguto; 11 
np; 11 
flaxcsc; 11 
pás; 11 
hurricaneflorence; 11 
redacaosportv; 11 
ps4share; 11 
masterchefprofissionais; 11 
timão108; 11 
maisasilvaig; 11 
usopen; 11 
brasil; 11 
fiel; 11 
craquedojogo; 11 
aovivo; 11 
forcaanitta; 11 
tercadetremurasdv; 11 
