Label, Id
Alvaro Dias,0
﻿elenão,1
elenao,2
ciro12,3
bolsonaro17,4
elesim,5
rouanetnão,6
debateaparecida,7
eleições2018,8
debateredetv,9
cirofilhodaputa,10
euquerobolsonaro,11
bolsonaropresidente17,12
bolsonaronãoécorrupto,13
elenunca,14
bolsonaro,15
forçabolsonaro,16
bolsonaronojornalnacional,17
bolsonaro2018,18
falamaisgentili,19
cironacnbb,20
lulainelegivel,21
gazetaestadaojp,22
elasim,23
mulherescombolsonaro,24
rouanetnao,25
ciropresidente,26
mulherescontraobolsonaro,27
quemmandoumatarbolsonaro,28
fakenews,29
votobolsonaro17,30
lulalivre,31
dia7é17,32
uolnasurnas,33
democraciasim,34
forcabolsonaro,35
meubolsominionsecreto,36
lulainelegível,37
calabocagentilli,38
calabocaciro,39
milhoescombolsonaro,40
b17,41
haddadélula,42
lulanacadeia,43
lulaepresidiario,44
reviravoltanaeleicao,45
ocapitãovoltou,46
direitaseguedireita,47
haddadpresidente,48
marina18,49
marinacomciro,50
jairmessiasbolsonaro,51
brasil,52
bolsonaropresidente,53
ptnuncamais,54
joãonaband,55
bolsonaronajovempan,56
cironosegundoturno,57
pergunteaociro12,58
domingodetremurasdv,59
fechocomciro,60
eusoulula,61
museunacional,62
sextadetremurasdv,63
sentagostosobozo,64
marinanojornalnacional,65
novafotodoperfil,66
bolsonaroeleito1ºturno,67
ciro,68
lulaépresidiário,69
haddad,70
forapt,71
alvarodias19,72
direitaunida,73
jb17,74
ocapitaovoltou,75
écomciroqueeuvou,76
bolsonaronaoecorrupto,77
vote30,78
jairbolsonaro,79
lutomuseunacional,80
ciraonosegundoturno,81
falaciro12,82
haddadélulanojn,83
eleicoes2018,84
lulaladrão,85
bolsonaro17no1ºturno,86
paz,87
elesimbolsonaro17,88
mariellepresente,89
bolsonaronao,90
mulherescontraofascismo,91
geraldoalckmin,92
quemmandoumatarobolsonaro,93
marinasilvanopanico,94
estoucombolsonaro,95
manunojaburu,96
somostodosbolsonaro,97
cironeles,98
falamaisgentilli,99
debatebandrio,100
Cabo Daciolo,101
geraldo45,102
geraldopresidente,103
bemvindojair,104
obrigadosenhor,105
doriafalsiane,106
deusnocontrole,107
